Serial Number,Part #,Cells,Cracks,Dry Mix,Blisters,Molded in Flash,Improper Sanding,Non-Fills,Chips,Pits,IMC Short Shots,IMC Blisters,Test Parts,Press/Equip Malfunction,Wavy,IMC Peel,IMC Chips,Teardown,IMC Tracks,External Trials,Holes Off,Dips,Paint Sags/Drips,Poor Repair,Too Heavy
30f269fbfe800ac10c640059,HL3V16016AD,Press 4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8017808c64009c,118439,Press 8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8018008c64009d,118440,Press 8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8013800c640092,AMV96979,Press 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c640083,BDH64236,Press 9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c640084,BDH64236,Press 9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8013800c620021,ZV5403,Zerv Fender Bonder,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe800ac10c64005e,HL3V16016AD,Press 4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c640086,BDH64236,Press 9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019c18c640059,BDR94728,Press 11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe800ac10c640064,HL3V16016AD,Press 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640078,KR3V16615A,Press 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019018c640079,KR3V16615A,Press 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8019810c64008f,BDH64236,Press 9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f269fbfe8017808c6400ac,118439,Press 8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
